Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hi, there's something I need to talk to you about regarding our friendship. It's been feeling a bit one-sided lately. Can we meet up to discuss this?",Claude,3,3,5,Bella
Disappointment Prompts,"I had a bad experience with my landlord. Iג€™ve been reporting issues with the apartment for months, but nothing has been fixed. How can I write a message to express my frustration?","Hi, I've been reporting issues with my apartment for months without resolution. This is becoming frustrating. Can we discuss a timeline for addressing these problems?",Claude,3,5,5,Bella
Service Cancellation Prompts,"Iג€™ve been using the same landscaper for a while, but I want to switch to a new company. How do I phrase a message to let them know I wonג€™t be using their services anymore?","""Hey, I wanted to let you know that I've decided to switch to a different landscaping company. I appreciate your services up until now, but I feel it's time for a change. Thank you for your understanding.""",Friends RAG,4,5,5,Bella
Break Up,"Iג€™ve been in a relationship for a year, but I feel like Iג€™m carrying the emotional weight of both of us. How do I break up without making them feel like theyג€™ve failed?","Hey, I hope you're doing alright. There's something important I want to talk about. I really care for you, but I'm feeling overwhelmed in our relationship. Can we meet up to chat about where we're at?",Claude,5,5,5,Bella
Addressing a friend who frequently cancels plans,"My friend keeps canceling plans last minute, and itג€™s starting to bother me. How can I bring this up without causing offense?","Hey, I wanted to talk to you about something that's been bothering me lately. I've noticed that you've been canceling our plans a lot lately, and it's starting to affect me. I know things come up, but it's happened a few times now, and I'm just wondering if everything is okay? I totally understand if something's going on, but I wanted to check in and make sure we're still good to hang out. Let me know!",Friends RAG,4,5,5,Bella
Turning down a family or cultural expectation,"I want to break away from a family tradition, but I donג€™t want to offend my parents. How can I phrase this carefully?","Hey Mom and Dad, I’ve been thinking a lot about our family traditions, and I know how much they mean to you. I really respect the values and memories they hold for our family. At the same time, I feel like I need to take a different direction that feels more true to who I am right now. It’s not a decision I’ve made lightly, and I hope you can understand that it’s important for me to create my own path. I appreciate everything you’ve taught me, and I hope we can continue to support each other, even if my choices look a little different. Thank you for always being there for me.",GPT,5,5,5,Bella
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","Hey, I wanted to chat about your business proposal. I really value our friendship, and I'm not interested in mixing business with it. I think we should keep our friendship and work lives separate. I hope you understand, and I think we can still be great friends without mixing business.",Friends RAG,3,5,4,Bella
Rejecting a gift or favor that has strings attached,A favor from a family member seems like it has strings attached. How do I turn it down without causing offense?,"Hey [Family Member's Name], I really appreciate you offering to help with [the favor]. It means a lot that you’re willing to lend a hand. After thinking it over, I’ve realized that I’m more comfortable handling this on my own for now. But thank you so much for your generosity—I really value your support and know that you’re there if I need it!",GPT,5,5,5,Bella
Rejecting someone who confessed their feelings,"Someone I know expressed romantic interest, but Iג€™m not interested. How do I let them down kindly?","I'm touched that you shared your feelings with me. You're a wonderful person, but I don't feel the same way romantically. I really value our relationship and hope we can continue being friends. Let me know if you need some space.",Claude,5,5,5,Bella
Break Up,"Iג€™ve been with my girlfriend for 2 years, but Iג€™ve developed feelings for someone else. I donג€™t want to hurt her, but I know I have to end it. Can you help me with a breakup text?","Hey [Her Name], this is really hard for me to say, but I feel like I owe you complete honesty. Over the past few weeks, I’ve realized that my feelings have changed, and I’ve developed feelings for someone else. It’s not fair to you or to us for me to continue the relationship when I’m not fully present. You’ve been such an important part of my life, and I’m truly sorry for any pain this might cause. You deserve someone who is completely focused on you, and I hope you find the happiness and love you deserve. I’ll always be grateful for the time we’ve had together.",GPT,5,5,5,Bella
Break Up,"Iג€™ve been with my partner for 3 years, but weג€™ve been long distance for the past year, and I feel like the relationship isnג€™t working for me anymore. How do I break up without making it about the distance?","Hi, I hope you're well. There's something I need to talk to you about. This past year has been challenging, and I feel like our relationship has changed. Can we find time to chat about where we're at?",Claude,2,3,5,Bella
