Category,query,Response ,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Hey Mom and Dad, I’ve been thinking a lot about what you’ve said about taking over the family business, and I’m so grateful that you trust me with something so important to you. It means a lot to me that you believe in my abilities. At the same time, I’ve realized that my heart is really set on a different path that I feel passionate about. I know this might not be what you hoped for, and I hope you understand that it’s not a decision I’ve made lightly. I believe that following my own path is where I’ll be happiest and most fulfilled. I’m so thankful for everything you’ve taught me, and I hope I can have your support as I go after my own dreams.",GPT,4,5,5,Tomer
Rejecting a gift or favor that has strings attached,"I was offered a gift by someone, but I donג€™t want to accept it due to expectations. How can I refuse it kindly?","Hey, I know it's a kind gesture, but I don't feel comfortable accepting the gift. I appreciate the thought, but I'd rather not put you out. No hard feelings, I hope? נ˜",Friends RAG,4,5,4,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,"Iג€™m supposed to be in a wedding party, but I canג€™t afford the expenses. How do I back out without offending my friend?","Hey [Friend's Name], I’ve been thinking a lot about your wedding, and I’m so honored that you asked me to be a part of your special day. I need to be honest with you, though—I’m realizing that I won’t be able to afford the expenses that come with being in the wedding party right now. I really wish I could make it work, but I don’t want to put myself in a difficult spot financially. I hope you can understand, and I’m still so excited to celebrate with you, no matter what. Please let me know if there’s another way I can support you through this!",GPT,3,3,3,Tomer
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™ve realized Iג€™m happier when Iג€™m alone. Can you help me write a breakup message?","Hi, I hope you're having a good day. There's something important I want to discuss. I've been doing some self-reflection, and I think I need some time on my own. Can we meet up to talk?",Claude,3,4,2,Tomer
Confronting someone about a hygiene issue,"A coworker has a body odor issue, and I need to bring it up tactfully. How can I phrase this without embarrassing them?","Hey, can we chat privately for a minute? There's a sensitive topic I wanted to discuss with you. It's about personal hygiene, and I'm only bringing it up because I care about you and your success at work.",Claude,5,5,3,Tomer
Break Up,"Iג€™ve been with my partner for 3 years, but weג€™ve been long distance for the past year, and I feel like the relationship isnג€™t working for me anymore. How do I break up without making it about the distance?","Hey, I wanted to talk to you about something that's been on my mind. I think you know that I care about you, and I've loved the time we've spent together. But, to be honest, I don't think I can continue this long-distance relationship anymore. It's not working for me, and I don't think it's fair to either of us to keep going when my heart isn't fully in it. I hope you can understand, and I truly wish you all the best.",Friends RAG,5,2,5,Tomer
Asking someone to stop oversharing personal details,"A coworker keeps oversharing about their personal life, and itג€™s making me uncomfortable. How can I ask them to stop without being rude?","Hi, I hope you're doing well. There's something I wanted to discuss with you privately. Some of our conversations at work have been a bit too personal for me. Could we chat about finding a balance?",Claude,3,3,5,Tomer
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","Hey [Friend's Name], I really appreciate you thinking of me for this business opportunity. It sounds interesting, but I’m not comfortable mixing friendship with business. I value our friendship a lot and hope we can keep it that way. Thank you for understanding!",GPT,2,4,5,Tomer
Ending a mentorship or advising relationship,"Iג€™m ready to move on from my mentorship, but I donג€™t want to hurt their feelings. How can I bring this up kindly?","Hey, I wanted to talk to you about my mentorship. I'm so grateful for everything I've learned from you, but I think it's time for me to move on. I feel like I've gained so much, and now I need to spread my wings a bit and apply what I've learned independently. I hope you understand, and I really want us to stay in touch and catch up when we can. I value our relationship, and I hope you know that I'm only doing this to spread my wings a bit. Thanks for everything, and I hope we can keep in contact!",Friends RAG,4,4,4,Tomer
Turning down a family or cultural expectation,"My family is pressuring me to pursue a certain career, but I donג€™t want to. How can I explain this without hurting them?","Mom and Dad, I'd like to talk about my career plans. I have some ideas that might be different from what you're expecting. Can we chat?",Claude,3,3,5,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I donג€™t want to be a groomsman anymore. How can I tell my friend without causing hard feelings?,"Hey, I wanted to chat about the groomsman situation. I've been feeling a bit overwhelmed and I don't think I can commit to being a groomsman for your wedding. I hope you understandג€”it's not that I don't want to be there for you, I just don't think I'm in the right headspace for it. I hope we can still be cool and that you'll have an amazing day regardless.",Friends RAG,4,3,4,Tomer
Confronting a family member about overstepping boundaries,A sibling keeps meddling in my personal life. How can I ask them to stop respectfully?,"Hey, I feel like you've been crossing some boundaries lately by meddling in my personal life. I need you to know that I'm not cool with it, and I want you to stop. I value our relationship, and I don't want this to come between us, but I need you to respect my privacy and my space. Can you do that for me, please?",Friends RAG,4,3,4,Tomer
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,"Hey, I wanted to let you know that I've received another job offer that aligns better with my long-term goals. I'm so grateful for the opportunity you've given me, and I don't want to waste your time or lead you on. I hope you understand my situation, and I wish your team all the best.",Friends RAG,3,4,5,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same babysitting service for a while, but Iג€™ve found a new sitter. Can you help me write a message to let them know I wonג€™t need their services anymore?","Hey, I hope you're doing well! I just wanted to reach out and let you know that I've found an alternative babysitting arrangement, so I won't be needing your services anymore. I really appreciate all the help you've provided up until now, and I'm grateful for your support. Thank you so much, and I wish you all the best!",Friends RAG,3,2,5,Tomer
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","I'm honored by the promotion offer. After much thought, I've decided I'm most effective in my current role. Thank you for your confidence in me.",Claude,2,2,5,Tomer
Disappointment Prompts,"I recently hired a cleaning service, but they did a terrible job. They missed several areas in the house, and when I pointed it out, they were rude and dismissive. How do I write a complaint to the company?","Hey, I wanted to give feedback on the cleaning service I recently hired from your company. I was really disappointed with the job they didג€”they missed a lot, and when I tried to point it out, they were incredibly rude and dismissive. I expected a better experience, to be honest, and I wanted to let you know directly so that you can improve. Thanks.",Friends RAG,3,4,4,Tomer
