Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Addressing someone whoג€™s not paying you back,A coworker borrowed money but hasnג€™t made any effort to repay. How can I bring it up kindly without creating office drama?,"
Hey [Coworker's Name], I hope you’re doing well! I wanted to follow up about the money you borrowed a while back. If you could let me know when you might be able to repay it, I’d really appreciate it. Thanks!",GPT,3,5,5,Or
Break Up,"Iג€™ve been seeing this guy for a month, but I donג€™t feel emotionally connected. Can you help me break up without being harsh?","Hey, I hope you're doing okay. There's something I wanted to talk about. I've enjoyed our time together, but I'm not feeling the emotional connection I was hoping for. Can we meet up to chat?",Claude,4,4,3,Or
Break Up,"Iג€™ve been dating someone for a few weeks, but I feel like Iג€™m not emotionally invested. Can you help me break up kindly?","Hey, I wanted to talk to you about [Name]. I've realized that I'm not as emotionally invested as I should be, and it doesn't feel fair to either of us to continue. I think it's best we part ways now before things get more serious. I care about you, and I don't want to lead you on or waste your time. I hope you understand.",Friends RAG,4,4,3,Or
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing intimate details, and I need to set boundaries. How can I say this without hurting their feelings?","Hi, I appreciate that you feel comfortable sharing with me. Can we chat about setting some boundaries? I'm finding it a bit much to process sometimes.",Claude,4,4,3,Or
Disappointment Prompts,"I ordered a custom cake for a special occasion, but it was nothing like what I asked for. The design was wrong, and it didnג€™t taste good. How can I express my disappointment to the bakery?","Hey, I just wanted to let you know that I was really looking forward to that custom cake, but it wasn't what I expected. I know these things happen, but I'm just letting you know that I was disappointed. The design wasn't what I asked for, and to be honest, it didn't taste great either. I wanted to bring this up because I care about your business, and I thought you should know my feedback.",Friends RAG,5,5,3,Or
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey, I wanted to chat about how I've been feeling about our friendship lately. I feel like we might have grown apart, and I don't feel as connected to you as I used to. I think it might be time for me to step away and give us both some space. I hope you understand, and I wish you all the best.",Friends RAG,5,5,5,Or
Break Up,"Iג€™ve been seeing a guy for a few weeks, but Iג€™ve noticed some red flags that I canג€™t ignore. How do I end it before things get more serious?","Hi, I hope you're having a good day. There's something I need to discuss with you. I've enjoyed getting to know you, but I'm having some concerns. Can we meet up to talk?",Claude,4,4,4,Or
Break Up,"Iג€™ve been with my partner for 3 years, but weג€™ve been long distance for the past year, and I feel like the relationship isnג€™t working for me anymore. How do I break up without making it about the distance?","Hey [Partner's Name], I want you to know how much I care about you and how much our time together has meant to me. This is really hard for me to say, but I’ve been doing a lot of thinking, and I feel like I need to be honest about where I am right now. I’ve realized that I’m no longer feeling the same way about the relationship, and I think it’s best for both of us if we go our separate ways. This isn’t about anything you’ve done wrong—I just think I need to be true to myself and where I am right now. I hope you can understand, and I’ll always wish the best for you.",GPT,5,5,4,Or
Ending a collaboration thatג€™s not working,"A partnership Iג€™m involved in isnג€™t working, and I want to step away. How can I express this professionally?","Hey, I wanted to let you know that I'm choosing to step away from our partnership. I appreciate your efforts, but I feel it's not working out, and I think it's best for both of us to move on professionally. I wish you all the best, and I hope we can remain respectful of each other's decision.",Friends RAG,5,4,4,Or
Disappointment Prompts,"I went to a spa for a relaxing massage, but the experience was anything but relaxing. The room was cold, the therapist was late, and I could hear construction noise the entire time. How can I complain to the spa politely?","Hi [Spa Name], I hope you’re doing well. I recently visited your spa for a massage on [date], and I wanted to share my experience. Unfortunately, it was not relaxing at all. The room was cold, the therapist arrived late, and there was construction noise that made it difficult to enjoy the session. I was really looking forward to a calming experience, and this didn’t meet my expectations. I hope you can look into these issues for future guests. Thank you!",GPT,4,5,4,Or
